Package                         Current   Wanted   Latest  Location                                                 Depended by
@jest/globals                    29.7.0   29.7.0   30.3.0  node_modules/@jest/globals                               engine@npm:@arteria/engine@0.1.0
@react-navigation/bottom-tabs    7.15.5   7.15.6   7.15.6  node_modules/@react-navigation/bottom-tabs               mobile@0.6.1
@react-navigation/elements       2.9.10   2.9.11   2.9.11  node_modules/@react-navigation/elements                  mobile@0.6.1
@react-navigation/native         7.1.33   7.1.34   7.1.34  node_modules/@react-navigation/native                    mobile@0.6.1
@types/jest                     29.5.14  29.5.14   30.0.0  node_modules/@types/jest                                 engine@npm:@arteria/engine@0.1.0
@types/jest                     29.5.14  29.5.14   30.0.0  node_modules/@types/jest                                 GAME-Arteria
babel-preset-expo               55.0.10  55.0.12  55.0.12  node_modules/babel-preset-expo                           GAME-Arteria
eslint                           9.39.3   9.39.4   10.1.0  node_modules/eslint                                      mobile@0.6.1
expo                             55.0.5   55.0.8   55.0.8  node_modules/expo                                        GAME-Arteria
expo                             55.0.5   55.0.8   55.0.8  node_modules/expo                                        mobile@0.6.1
expo-audio                       55.0.8   55.0.9   55.0.9  node_modules/expo-audio                                  mobile@0.6.1
expo-constants                   55.0.7   55.0.9   55.0.9  node_modules/expo-constants                              mobile@0.6.1
expo-dev-client                 55.0.11  55.0.18  55.0.18  node_modules/expo-dev-client                             mobile@0.6.1
expo-haptics                     55.0.8   55.0.9   55.0.9  node_modules/expo-haptics                                mobile@0.6.1
expo-linear-gradient             55.0.8   55.0.9   55.0.9  node_modules/expo-linear-gradient                        mobile@0.6.1
expo-linking                     55.0.7   55.0.8   55.0.8  node_modules/expo-linking                                mobile@0.6.1
expo-notifications              55.0.11  55.0.13  55.0.13  node_modules/expo-notifications                          mobile@0.6.1
expo-router                      55.0.4   55.0.7   55.0.7  node_modules/expo-router                                 GAME-Arteria
expo-router                      55.0.4   55.0.7   55.0.7  node_modules/expo-router                                 mobile@0.6.1
expo-splash-screen              55.0.10  55.0.12  55.0.12  node_modules/expo-splash-screen                          mobile@0.6.1
expo-system-ui                   55.0.9  55.0.10  55.0.10  node_modules/expo-system-ui                              mobile@0.6.1
expo-updates                    55.0.12  55.0.15  55.0.15  node_modules/expo-updates                                mobile@0.6.1
expo-web-browser                 55.0.9  55.0.10  55.0.10  node_modules/expo-web-browser                            mobile@0.6.1
jest                             29.7.0   29.7.0   30.3.0  node_modules/jest                                        engine@npm:@arteria/engine@0.1.0
jest                             29.7.0   29.7.0   30.3.0  node_modules/jest                                        GAME-Arteria
react-native                     0.83.2   0.83.2   0.84.1  node_modules/react-native                                GAME-Arteria
react-native                     0.83.2   0.83.2   0.84.1  node_modules/react-native                                mobile@0.6.1
react-native-mmkv                 4.2.0    4.3.0    4.3.0  node_modules/react-native-mmkv                           mobile@0.6.1
react-native-nitro-modules       0.35.0   0.35.2   0.35.2  node_modules/react-native-nitro-modules                  GAME-Arteria
react-native-reanimated           4.2.2    4.2.3    4.2.3  node_modules/react-native-reanimated                     mobile@0.6.1
react-native-safe-area-context    5.6.2    5.6.2    5.7.0  apps/mobile/node_modules/react-native-safe-area-context  mobile@0.6.1
react-native-screens             4.23.0   4.23.0   4.24.0  apps/mobile/node_modules/react-native-screens            mobile@0.6.1
react-native-svg                15.15.3  15.15.3  15.15.4  node_modules/react-native-svg                            mobile@0.6.1
react-native-worklets             0.7.4    0.7.4    0.8.1  node_modules/react-native-worklets                       mobile@0.6.1
